序號,班級,學號,姓名,GitHub 帳號,作業一,作業二,作業三,作業四,作業五,作業六,作業七,作業八,作業九,作業十
1,電資三,110820265,礄鸉沱,cyc8gh4f1n,8,6,7,3,7,0,6,8,0,7
2,資工碩三,110598301,鹼墠軌,djscirvzyv,4,8,8,6,9,9,4,0,4,1
3,電資資安碩一,112C53399,瀥賚渡,x2mz1qq6s1,0,6,8,6,4,4,5,5,1,5
4,互動碩二,111AC8808,瑨叙慗,2h9r50rtq2,7,3,1,9,0,5,0,8,4,2
5,電資AI碩二,111C52539,餈鞕鉹,ot4p0idkx2,3,5,1,6,3,4,3,4,3,1
6,創新資安碩一,112C72148,忋簹谞,mant18x1ai,6,3,7,9,7,7,5,2,2,7
7,電資三,110820738,赅螳墼,b127rn5g2t,9,5,3,6,5,6,4,5,8,8
8,二資港生二,110AEM965,苾猍傱,kmv1g0zuwu,6,8,1,5,4,3,7,2,1,7
9,二資陸生二,110AEM386,筬睶規,1yn43n8705,5,5,8,9,1,0,1,7,2,0
10,創新資安碩一,112C72087,皮郿礟,al2quoufby,8,9,7,5,9,4,2,7,6,4
11,電資四,109820275,筰籙鏯,roe96650ry,5,5,8,9,5,1,0,4,6,2
12,電資資安碩一,112C53320,勂趢爱,ouke7vewfn,4,3,9,8,0,5,0,3,9,6
13,資工四,108590548,碩叜扒,h5mp2qog8d,4,3,4,4,7,4,5,6,1,6
14,二資陸生二,110AEM905,齶铱姰,5d9go60uaq,2,1,0,7,0,1,1,8,8,2
15,資工四,108590714,鵅漞錻,e8cbvjlz1l,9,3,2,5,2,9,3,9,2,5
16,電資資安碩一,112C53374,裶垲啒,rx2ob1f44m,8,7,6,2,1,2,7,2,1,2
17,電資三,110820975,禺缵瓪,13zi8aae1nj,0,6,9,0,8,2,8,7,1,5
18,創新AI碩二,111C71527,棑镒彨,7j2g00we84,0,3,9,7,5,1,7,2,4,0
19,創新AI碩二,111C71448,抣団爽,2tjnqcm8nj,2,4,3,3,9,4,3,0,3,9
20,電資AI碩二,111C52747,滧靠渶,cqecfb1tyn,3,2,8,7,5,4,7,6,2,2
21,資工碩一,112598783,硋枨棊,isj8ewpjbs,7,9,0,8,1,6,5,3,8,6
22,互動碩二,111AC8206,抸励嵐,3cv4bajca5,7,1,0,6,2,4,4,8,8,3
23,創新AI碩一,112C71395,殱艓建,db8lvh8ay3,5,1,7,6,2,8,2,1,4,1
24,電資四,109820368,圿觖胶,rcomx6mw21,0,5,4,3,1,8,1,8,8,9
25,創新AI碩二,111C71156,磁靂嬆,2o2e73ou4i,8,5,6,9,2,5,0,5,0,5
26,電資AI碩二,111C52942,噩懈蝚,6q5ow88eet,4,4,4,5,8,9,5,8,3,7
27,電資四,109820206,棻樻叆,q7x6cerp8m,5,5,6,8,3,7,6,1,8,5
28,電資AI碩一,112C52120,鬫褮鿻,4u0qnefopt,3,1,7,8,0,0,8,3,4,7
29,電資AI碩二,111C52720,挟衏唎,ktznx8rgkg,8,5,4,8,8,4,0,4,5,6
30,資工三,110590758,棻焠厶,re31c44cnc,8,0,2,9,2,0,9,4,7,2
31,創新AI碩一,112C71870,棈钡縭,dfdgdlw1x4,1,0,3,0,3,6,5,2,0,8
32,創新AI碩二,111C71876,亶閪坶,kpasw1bh42k,5,9,8,3,9,4,6,6,8,4
33,資工碩一,112598692,芒圹暑,3edcxh0z8,4,2,7,0,8,3,9,8,4,2
34,資工碩一,112598439,舲圌耪,dr9e4233buj,2,8,8,8,4,3,7,5,4,6
35,資工碩二,111598209,惓诩峃,bbd3sz7l8p,7,6,0,0,4,1,5,7,1,3
36,資工碩三,110598708,筠龶晍,lw0cajk9ad,3,8,9,4,0,1,9,6,0,7
37,二資陸生二,110AEM586,擊跧汃,wgaftldljyj,4,3,1,0,0,6,3,5,3,0
38,創新AI碩二,111C71167,俘軰釩,bpquql7ns2j,8,8,6,3,9,3,7,0,7,0
39,電資四,109820150,瑯鉮痏,zcv68yd5o,4,7,7,7,4,9,6,9,4,7
40,電資AI碩二,111C52384,郪昵躂,3gyldnuumbi,1,6,1,8,1,2,8,0,6,4
41,資工三,110590074,嶦筍哸,qin39626b3,5,0,6,1,5,3,9,2,4,1
42,資工三,110590934,澝莗蛼,anctu2uf6i,0,6,9,9,3,7,7,4,7,6
43,資工四,108590903,圚繃簓,lvda7zlaew,4,0,0,0,8,1,1,5,8,0
44,電資三,110820717,旯挒禪,zpedquqc4x,9,2,5,7,9,2,3,0,0,8
45,二資陸生二,110AEM744,怑綦埼,5nal36urrp,6,2,7,4,7,0,9,0,4,0
